data,count
524,297
522,298
520,299
521,300
524,301
521,302
519,303
518,304
523,305
521,306
519,307
516,308
520,309
520,310
518,311
515,312
516,313
519,314
515,315
512,316
511,317
514,318
512,319
508,320
507,321
509,322
508,323
506,324
503,325
504,326
508,327
502,328
500,329
500,330
501,331
499,332
496,333
494,334
496,335
496,336
493,337
490,338
490,339
494,340
492,341
490,342
488,343
491,344
491,345
488,346
488,347
489,348
492,349
490,350
488,351
488,352
492,353
489,354
487,355
486,356
489,357
488,358
484,359
482,360
483,361
485,362
482,363
479,364
478,365
482,366
479,367
475,368
473,369
476,370
476,371
472,372
470,373
470,374
472,375
469,376
466,377
466,378
469,379
468,380
465,381
462,382
463,383
463,384
458,385
454,386
452,387
451,388
446,389
438,390
431,391
429,392
422,393
414,394
406,395
403,396
399,397
392,398
386,399
381,400
381,401
376,402
371,403
368,404
369,405
366,406
364,407
361,408
362,409
363,410
360,411
358,412
357,413
361,414
360,415
358,416
357,417
359,418
358,419
358,420
356,421
357,422
359,423
357,424
356,425
355,426
358,427
357,428
355,429
354,430
356,431
357,432
355,433
354,434
355,435
357,436
355,437
354,438
354,439
357,440
356,441
354,442
353,443
355,444
356,445
355,446
354,447
355,448
358,449
356,450
355,451
354,452
357,453
357,454
356,455
355,456
357,457
358,458
357,459
355,460
357,461
360,462
359,463
358,464
358,465
360,466
361,467
359,468
359,469
360,470
362,471
361,472
360,473
361,474
364,475
363,476
362,477
361,478
364,479
365,480
363,481
363,482
364,483
365,484
364,485
364,486
364,487
367,488
368,489
368,490
368,491
372,492
375,493
376,494
378,495
380,496
384,497
386,498
388,499
391,500
398,501
404,502
410,503
417,504
425,505
434,506
440,507
448,508
458,509
472,510
485,511
498,512
513,513
530,514
545,515
557,516
569,517
580,518
592,519
599,520
608,521
616,522
627,523
632,524
637,525
642,526
649,527
653,528
655,529
655,530
658,531
663,532
662,533
662,534
663,535
668,536
667,537
665,538
665,539
668,540
670,541
667,542
666,543
667,544
672,545
669,546
667,547
666,548
671,549
671,550
667,551
666,552
668,553
670,554
667,555
664,556
665,557
670,558
666,559
661,560
661,561
666,562
666,563
662,564
661,565
663,566
665,567
662,568
659,569
660,570
665,571
662,572
659,573
658,574
663,575
664,576
660,577
658,578
